cluster,location,status,property_type,price,capital_gain_pct,price_per_sqft,area_sqft,bedrooms,date,sold_by,possible_partial_or_nonstandard_sale,source_file,source_page,record_uid
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,4000000.0,,1126.0,3634.0,4,2026-08-31,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",2,cd5fb819c5dd2cbbfd5ef3b0a1ac39995d4d09a8
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3250000.0,55.0,1249.0,2620.0,4,2026-08-29,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",2,1fd2ee24fd4e7c9a79e44c6928b4bf56d2981632
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,3015350.0,,1227.0,1940.0,3,2026-08-27,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",2,35cd178cf9400d0c6f0db0b6fa66fcbbfb2b08cc
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3300000.0,52.0,1259.0,2470.0,4,2026-08-27,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",2,0292eb21ce2da3fd83e8255ef2bcfe66803d683a
Elva,"Elva, The Valley, Al Yufrah 1",Ready,Villa,212100.0,3.0,78.0,3918.0,4,2026-08-27,Individual (1 Time),True,"The Valley (All Phases), Al Yufrah 1-3.pdf",2,de875d1ad2764d47b4ab7808b47e964c85ebe246
Lillia,"Lillia, The Valley, Al Yufrah 1",Ready,Villa,3300000.0,6.0,1192.0,2515.0,4,2026-08-27,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",2,e76a1ece681130b96a70e14a5e91773ecc4a3df5
Rivera,"Rivera, The Valley, Al Yufrah 1",Offplan,Villa,4200000.0,-13.0,1139.0,3999.0,4,2026-08-27,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",2,78974709a4d744fff4b63cce266cdf5fa1a5b5b7
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2625000.0,15.0,1249.0,1483.0,3,2026-08-27,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",2,c2248f35e2bec5f2a16146285ad89eea832d9937
Farm Grove,"Farm Grove, The Valley, Al Yufrah 1",Offplan,Villa,5097888.0,,1354.0,5831.0,4,2026-08-26,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",2,55691b2bf3130ecfa04ddb2636414f1c9684add9
Alana,"Alana, The Valley, Al Yufrah 1",Ready,Villa,4247888.0,,1027.0,3718.0,4,2026-08-26,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",2,ffbc295062d1888a5b94aaa2073a4ba261f3af35
Velora,"Velora, The Valley, Al Yufrah 1",Ready,Villa,3320888.0,,1350.0,1938.0,3,2026-08-25,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",2,2c4784c9d5b4eb5634e3fb5a9a6fc687d2c92b4b
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,3335000.0,67.0,1417.0,3165.0,4,2026-08-25,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,e10e924680976fdbf88f39a7bd54f6d7aedfd57b
Rivana,"Rivana, The Valley, Al Yufrah 1",Offplan,Villa,3820000.0,14.0,1078.0,3229.0,4,2026-08-24,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,9eca6dd26b464f3addf8fe819c574547746b1d9d
Orania,"Orania, The Valley, Al Yufrah 1",Ready,Villa,4000000.0,95.0,1750.0,3547.0,4,2026-08-24,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,d3b76b0801e47c4a2669cf99a9089952036a3209
Farm Gardens,"Farm Gardens, The Valley, Al Yufrah1",Ready,Villa,7500000.0,20.0,1515.0,8592.0,4,2026-08-24,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,55001270dbfd6763f5e4307d9200febb3fa8411d
Velora 2,"Velora 2, The Valley, Al Yufrah 1",Ready,Villa,2948888.0,,1200.0,1939.0,3,2026-08-21,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,65eb1fedefeeb37abc355cb97212ccb4dee18de2
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2450000.0,16.0,1169.0,1483.0,3,2026-08-21,Individual (2 Times),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,7f04fd2344e6c159b4354b1e8531aed95434296a
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,2400000.0,45.0,1117.0,1483.0,3,2026-08-21,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,0161c4c4edb0abf11b96024a57c2469991aff855
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3400000.0,49.0,1298.0,2486.0,4,2026-08-20,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,e8decf7f0a5ba9f092c780f8e0505c1f5998b8c6
Venera,"Venera, The Valley, Al Yufrah 1",Offplan,Villa,2841888.0,,1130.0,1938.0,3,2026-08-20,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,5c5582e1201783f351cfabb2fe961898c8ac599a
Elora,"Elora, The Valley, Al Yufrah 1",Ready,Villa,3300000.0,57.0,1268.0,2713.0,4,2026-08-20,Individual (1 Time),False,"The Valley (All Phases), Al Yufrah 1-3.pdf",3,0bbda56812e85469f75c7d2cb2d79d75d0ade0bd
